ST160Q01IA,ST160Q02IA,ST160Q03IA,ST160Q04IA,ST160Q05IA,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,ISCEDL
3,3,2,3,2,370.153,374.28,375.075,362.625,375.666,358.335,379.38,321.181,331.069,368.857,3
3,3,3,3,3,581.546,531.932,466.663,506.266,534.419,475.933,496.119,566.487,576.239,541.432,3
1,1,1,2,1,426.544,413.076,451.718,417.134,430.689,480.505,423.289,451.021,445.14,476.11,3
1,1,1,2,1,431.279,458.987,451.766,472.167,447.015,487.428,512.361,516.913,456.272,493.773,3
3,4,1,3,1,335.206,341.643,342.643,366.503,343.28,359.111,294.392,343.872,332.932,352.553,2
4,4,3,4,4,403.856,394.438,421.522,388.894,363.406,377.533,414.37,386.691,398.586,386.153,3
2,1,1,2,2,594.517,556.802,571.202,587.648,519.943,617.171,566.967,555.452,577.515,581.205,3
4,3,4,4,4,616.155,674.926,615.055,661.821,608.256,608.943,666.047,681.545,680.37,671.541,3
3,3,2,1,3,387.159,411.947,407.039,422.759,461.893,435.962,411.041,407.865,398.1,450.964,3
1,1,1,2,1,459.053,490.441,503.36,490.785,488.789,478.245,536.278,536.648,456.439,448.225,3
1,2,3,2,1,542.323,543.654,553.797,503.103,514.669,538.095,540.01,559.362,582.979,529.134,3
3,1,1,3,2,445.531,467.994,417.926,402.408,462.863,473.735,457.326,493.54,405.281,452.974,3
2,2,3,4,2,570.794,565.912,615.097,605.154,563.345,647.107,594.209,588.253,627.394,627.345,3
3,3,3,4,4,461.105,452.957,470.65,476.861,474.001,449.154,467.956,479.63,453.554,429.704,3
2,2,2,3,2,454.262,454.806,495.109,473.745,431.728,428.834,410.707,440.318,487.713,472.041,3
3,3,3,4,3,478.851,479.767,459.732,457.69,457.283,456.683,488.717,452.59,452.368,443.093,3
3,2,3,3,3,475.959,437.945,474.067,467.522,493.772,475.249,450.385,492.793,489.34,499.873,3
1,3,3,4,4,300.907,326.308,275.285,332.718,278.516,321.96,343.239,299.283,283.35,239.57,3
2,1,2,2,2,451.424,487.293,484.83,451.41,462.251,441.52,436.632,459.714,440.337,460.017,3
2,1,1,2,2,346.552,355.158,336.805,364.317,349.081,333.112,322.992,331.677,314.593,381.64,2
3,2,3,3,3,515.68,576.432,529.556,552.856,571.461,600.698,593.972,549.068,536.532,476.127,3
2,2,2,2,2,465.968,415.654,467.035,425.56,474.438,418.16,404.278,461.328,420.121,401.105,3
2,2,2,4,3,170.448,249.027,220.189,217.284,243.452,242.687,158.442,259.81,280.747,189.525,3
3,2,2,3,3,554.7,544.664,561.469,566.352,559.653,526.705,500.622,566.229,535.589,599.804,3
2,1,1,1,2,453.437,467.158,468.893,456.473,519.969,453.849,489.735,488.133,492.826,479.931,3
4,2,2,3,2,262.219,268.326,251.406,237.004,304.625,295.147,208.053,256.599,261.126,307.487,3
2,1,1,2,1,334.92,344.564,404.689,354.939,349.567,350.764,351.447,361.481,395.105,379.114,3
1,1,1,2,2,430.834,420.005,449.939,464.222,409.268,441.138,462.472,451.899,399.53,425.87,3
2,2,2,3,3,294.229,287.954,329.547,250.456,344.204,342.207,328.501,308.015,288.825,314.921,2
2,2,1,3,1,482.051,408.047,424.835,433.386,409.885,418.141,408.717,411.669,439.99,433.732,3
2,2,2,1,2,574.316,556.391,569.183,500.605,559.665,550.088,527.633,570.145,522.62,559.565,3
 , , , , ,240.661,220.24,247.995,239.638,244.834,287.304,235.783,255.392,287.194,267.851,2
1,1,3,1,1,433.6,437.882,382.683,408.512,433.439,430.959,382.929,380.954,437.934,392.232,3
4,2,3,2,2,357.95,319.979,342.112,334.392,266.01,328.779,325.439,295.636,326.123,326.973,2
2,1,1,3,1,446.228,391.249,444.515,379.527,452.346,406.709,502.108,390.127,454.191,469.656,3
2,3,3,2,2,292.313,310.859,221.629,268.659,251.755,329.815,328.873,296.636,358.607,313.579,3
2,2,2,3,1,528.649,508.773,552.794,487.525,557.924,548.816,572.513,532.526,496.768,516.242,3
4,3,4,4,4,504.243,536.033,418.956,450.496,462.947,476.14,469.981,434.475,446.461,513.174,3
3,3,2,3,3,439.431,401.067,402.514,353.202,453.215,431.195,413.276,441.689,422.372,379.364,3
2,2,3,3,2,504.039,500.031,467.728,465.632,487.595,488.214,458.635,465.942,467.162,433.196,3
4,4,3,4,4,473.516,511.604,542.25,486.664,517.804,524.288,451.957,491.027,530.64,494.86,3
3,3,4,4,3,425.672,441.294,451.33,451.382,406.92,429.66,418.922,385.653,385.026,431.998,3
1,1,1,2,4,552.117,550.391,576.981,569.028,509.145,546.25,561.767,571.14,503.442,539.479,3
1,2,3,3,2,610.733,599.109,588.219,599.646,568.756,543.527,544.452,624.019,569.537,547.672,3
2,1,1,1,1,636.023,622.445,569.001,611.014,577.435,611.824,618.947,552.395,602.1,579.206,3
3,3,2,3,3,478.846,510.147,436.352,460.315,452.623,516.077,443.211,523.86,464.412,492.018,2
2,2,1,3,2,576.186,519.032,533.187,535.829,555.982,568.535,495.669,529.894,587.318,575.432,3
1,2, ,3,4,527.027,506.428,519.649,517.638,526.729,542.956,562.085,581.585,569.075,509.016,3
2,2,2,3,2,505.927,546.082,583.581,582.086,504.539,522.383,519.011,538.15,561.68,495.412,3
3,3,4,4,4,585.005,573.176,612.883,569.056,573.732,500.905,581.593,542.433,574.756,491.143,3
