ST160Q01IA,ST160Q02IA,ST160Q03IA,ST160Q04IA,ST160Q05IA,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,ISCEDL
2,2,3,3,3,576.941,594.767,530.514,567.26,579.688,619.819,531.235,565.672,590.683,586.405,3
3,1,1,2,2,445.779,440.81,473.694,462.599,448.305,435.243,414.474,426.859,455.661,470.732,3
4,3,3,4,4,417.495,445.816,444.216,448.555,452.086,442.579,447.257,416.513,427.117,454.84,3
2,2,2,3,3,537.718,551.071,555.524,499.16,486.947,551.052,505.849,531.254,572.364,564.063,3
 , , , , ,491.825,497.946,531.069,511.097,538.994,496.461,551.317,543.6,500.124,502.324,3
3,3,3,3,3,597.857,577.146,597.03,585.041,575.812,596.585,595.995,584.945,582.318,571.663,3
3,3,2,3,3,526.517,514.304,536.888,558.4,559.58,514.762,528.677,534.449,538.896,545.341,3
2,2,2,3,1,379.465,324.798,396.142,310.188,368.442,322.217,352.828,402.996,373.282,312.928,3
1,1,1,1,1,318.276,347.988,336.445,373.673,368.684,347.996,360.731,357.198,410.441,391.847,3
2,2,2,2,1,355.991,386.113,418.413,380.679,384.101,387.22,425.056,393.557,399.895,379.821,3
3,3,3,4,2,494.191,463.734,492.018,496.795,538.241,494.573,509.053,479.669,503.888,483.311,3
2,1,1,1,2,403.029,343.696,417.318,477.14,382.384,350.002,420.125,347.115,444.848,369.875,2
1,2,2,2,1,427.737,420.319,437.554,457.279,436.619,442.611,444.624,446.902,452.024,469.781,3
4,4,4,4,3,548.827,613.398,559.863,612.383,621.881,605.243,647.824,575.942,602.379,600.048,3
1,1,1,4,2,526.602,470.366,479.298,458.102,475.228,465.392,507.799,476.23,493.953,515.168,3
3,4,3,4,4,301.973,313.383,303.047,266.577,308.613,276.64,295.632,262.571,273.701,281.619,2
4,2,2,3,2,448.727,463.911,457.578,446.724,464.378,473.79,466.015,451.905,466.793,439.651,3
2,1,2,2,2,332.418,350.599,314.139,360.732,364.955,343.116,348.909,372.909,373.553,341.591,3
4,3,3,4,3,619.073,601.348,608.796,628.932,631.417,603.406,651.443,621.823,579.131,616.765,3
2,2,2,3,2,586.828,562.183,535.707,589.009,608.632,593.278,583.055,551.016,545.46,558.596,3
3, ,3,3,2,477.993,484.582,471.95,541.544,467.064,465.002,487.293,486.125,490.818,473.737,3
2,2,2,2,2,358.595,419.711,410.335,392.951,417.674,414.681,461.796,417.421,359.092,377.87,3
1,1,1,3,1,502.568,536.864,505.02,479.436,469.399,501.504,482.902,504.458,499.598,515.12,3
3,3,3,3,3,370.19,339.655,438.619,377.907,363.493,370.902,364.909,340.743,342.932,334.889,3
3,2,3,4,3,512.598,469.316,503.641,529.227,547.438,498.809,514.335,514.853,594.157,517.701,3
2,2,2,3,3,539.361,570.582,556.695,525.547,537.014,577.683,583.049,585.466,573.737,559.7,3
2,1,3,3,2,451.502,463.354,459.023,481.159,471.303,482.187,495.33,476.215,472.29,505.219,3
3,4,4,4,3,561.152,562.32,569.524,553.139,548.798,555.509,583.313,567.418,547.104,551.343,3
2, ,2,2,3,428.811,373.45,470.361,451.545,435.413,445.118,481.21,454.196,429.114,457.157,3
2,1,1,2,2,560.791,571.826,576.264,591.711,587.962,619.091,622.898,545.857,543.954,560.456,3
1,1,2,2,2,380.097,399.599,433.154,441.071,422.675,418.978,419.906,445.884,419.65,436.076,2
3,2,3,4,4,461.936,417.197,447.952,464.411,413.663,457.75,428.969,459.544,420.314,413.228,3
3,1,1,2,1,490.653,517.171,530.313,511.055,507.443,528.28,510.214,474.103,482.629,489.429,3
1,1,1,1,2,470.17,482.567,470.007,483.455,478.613,458.156,509.842,465.642,474.966,478.866,3
3,2,2,3,3,536.988,500.288,516.396,538.424,522.688,581.103,498.805,540.953,579.404,501.966,3
3,2,2,3,3,567.281,551.63,532.653,572.226,573.076,583.359,551.141,581.45,550.384,545.513,3
1,1,1,2,1,474.848,452.835,488.959,480.594,463.401,446.055,473.708,527.668,498.692,476.457,3
2,2,2,1,2,383.574,373.69,425.055,419.743,398.894,391.347,377.794,396.84,395.288,380.841,3
3,3,3,3,3,658.609,685.62,703.314,682.912,690.068,622.521,668.331,716.536,739.349,674.069,3
2,2,2,3,3,599.321,544.487,558.237,560.04,565.853,556.374,551.765,543.172,531.639,551.499,3
3,3,4,4,4,569.758,572.737,545.462,537.8,580.404,594.675,582.425,546.742,579.908,549.95,3
1,2,2,2,2,507.8,432.884,411.438,411.676,456.424,416.079,484.373,440.314,397.054,444.895,3
3,2,2,4,3,559.33,616.48,622.11,610.188,650.778,598.994,613.517,625.811,572.297,647.111,3
3,2,3,4,3,559.11,576.067,613.936,588.3,604.583,600.1,601.204,578.771,577.565,565.07,3
3,2,2,2,3,252.958,195.179,259.94,237.945,274.411,243.192,275.43,294.022,234.208,256.677,3
3,2,1,3,4,324.034,247.388,281.781,293.288,270.138,245.11,278.325,213.251,309.025,257.75,3
2,2,2,3,2,602.954,604.029,620.826,600.534,588.11,658.018,648.111,604.782,582.666,577.313,3
1,1,1,1,1,507.567,523.939,516.68,484.545,532.926,519.018,497.043,479.944,514.925,494.757,3
3,2,2,3,1,435.206,397.872,334.266,361.803,395.105,401.677,383.518,388.435,370.152,406.55,3
3,2,3,3,3,447.67,397.58,417.102,475.704,434.969,407.097,452.801,464.984,428.902,466.365,3
4,3,2,3,3,453.674,490.061,476.971,410.573,481.948,452.644,412.66,487.096,463.285,455.166,3
4,1,1,2,2,386.523,380.383,344.179,384.051,376.767,370.377,374.088,384.909,370.473,354.85,3
2,3,2,3,3,336.835,349.487,356.588,347.717,342.58,380.516,375.364,363.101,409.404,368.673,3
2,2,3,3,3,482.306,477.541,437.583,480.646,445.891,475.091,446.306,527.203,468.738,419.855,3
2,2,2,2,2,396.377,427.029,402.259,401.024,379.535,384.827,387.358,311.893,409.462,383.237,3
3,2,2,3,2,456.155,406.111,394.09,431.251,387.768,376.705,419.553,408.391,478.987,427.041,2
1,4,2,2,2,265.893,281.374,313.144,275.487,255.184,332.449,270.5,277.685,316.075,250.005,3
2,2,3,3,3,472.377,482.382,416.476,438.298,446.391,440.091,403.299,414.029,461.734,465.013,3
4,4,4,4,4,393.444,326.026,324.563,360.1,327.324,372.656,399.11,397.199,396.572,375.895,3
2,2,1,2,2,470.688,456.7,410.19,409.764,443.398,449.246,392.075,389.055,427.118,447.517,3
2,2,2,2,2,375.26,418.862,472.771,484.095,458.99,404.441,417.424,401.057,413.85,386.264,3
3,2,3,4,1,342.316,321.473,298.63,314.816,335.912,317.774,276.255,335.233,301.311,299.065,3
2,2,2,2,2,275.726,257.608,274.854,264.574,229.416,236.563,224.569,249.229,274.926,262.698,2
3,2,2,3,3,616.413,616.801,586.959,582.937,572.993,596.142,580.225,584.707,601.598,638.523,3
3,2,2,4,3,528.329,532.458,473.117,475.888,461.025,503.03,550.442,502.571,456.382,496.872,3
4,4,4,4,2,454.804,473.216,454.874,481.921,480.51,441.598,520.613,487.04,467.671,514.257,3
1,2,2,2,1,565.738,563.441,474.938,577.753,572.564,585.952,547.006,556.552,582.18,535.141,3
3,2,3,4,3,398.19,373.306,415.46,381.896,416.859,361.809,379.479,364.497,407.209,424.471,3
3,1,2,3,4,318.371,332.846,340.654,360.48,343.047,330.963,325.991,373.3,311.091,280.296,3
1,2,2,2,2,486.667,443.12,425.569,427.603,484.383,476.489,476.132,463.803,497.232,448.88,3
1,1,1,2,2,604.517,587.42,533.323,598.54,683.155,671.788,579.279,552.241,678.459,588.712,3
3,3,2,3,3,491.831,501.211,462.286,529.107,530.589,531.258,521.151,509.524,544.456,473.859,3
1,1,1,1,2,496.384,548.252,486.475,513.758,509.224,491.874,538.294,518.917,568.415,531.021,3
3,2,2,4,4,521.895,512.805,500.947,529.24,502.382,528.233,554.708,546.234,512.456,529.288,3
2,2,2,3,2,492.957,559.085,487.411,522.664,511.728,480.211,510.41,487.085,496.927,536.003,3
2,3,3,2,2,250.776,290.73,283.056,262.217,285.448,299.534,264.853,309.348,269.607,247.092,3
3,3,2,4,3,566.315,510.642,546.06,539.272,570.063,539.661,572.737,553.18,532.268,530.577,3
4,4,3,4,4,301.944,296.533,296.925,291.609,280.566,283.864,307.067,287.774,292.544,323.85,3
2,2,4,3,3,567.633,543.523,533.337,578.119,565.938,550.37,525.198,539.828,551.688,572.722,3
4,1,1,1,4,349.725,314.752,341.368,326.566,317.429,383.151,338.38,346.642,340.961,309.817,3
3,4,2,3,2,448.96,427.867,444.302,446.182,392.242,402.98,462.185,409.833,453.861,445.887,3
3,1,2,2,1,369.774,373.89,328.539,352.771,358.977,396.92,404.186,347.885,340.396,375.012,3
1,2,3,4,2,426.641,392.399,418.951,430.112,418.603,437.157,385.537,404.04,405.252,418.278,3
3,1,1,2,2,499.221,448.917,452.059,455.164,432.033,432.905,456.614,438.391,453.36,449.47,3
2,2,1,3,3,365.54,369.364,382.722,334.454,303.72,353.561,339.322,371.645,374.564,316.753,3
4,2,2,3,3,401.028,427.52,401.667,368.295,394.081,383.423,409.466,405.991,367.959,408.12,3
3,3,2,2,3,344.571,421.185,369.942,401.915,409.933,420.96,352.393,379.174,408.142,370.59,3
2,2,2,3,2,441.433,457.64,471.756,460.155,463.777,435.979,446.373,484.5,420.871,408.117,3
2,2,2,4,2,456.888,522.683,503.69,505.135,531.629,514.996,565.826,449.835,549.506,508.613,3
2,1,1,1,1,356.077,359.565,367.149,352.168,387.981,319.44,356.16,331.818,377.681,374.284,2
2,3,3,3,2,446.417,426.807,428.753,431.415,404.01,408.972,434.626,387.956,427.145,450.665,3
3,2,2,3,3,468.795,474.298,465.709,540.303,513.234,514.549,505.774,512.016,501.858,520.425,3
3,4,1,4,2,342.243,350.576,387.688,377.236,348.053,338.316,354.52,365.278,353.025,366.621,3
1,2,1,2,1,399.448,407.851,385.564,397.999,423.174,437.802,428.886,465.331,432.884,447.589,3
3,1,2,2,1,336.159,349.91,395.626,335.144,360.543,371.465,385.722,327.765,353.564,348.951,3
2,3,2,3,2,469.917,517.932,434.101,490.071,451.153,506.806,465.234,469.806,483.313,499.267,3
1,1,1,4,2,485.878,563.49,538.075,525.991,559.312,546.623,452.492,516.485,532.893,563.845,3
1,2,3,2,1,503.966,455.736,479.215,447.986,469.339,483.666,479.849,449.376,505.657,427.813,3
4,4,3,4,4,629.737,659.006,624.737,572.623,693.435,576.131,617.389,631.028,524.26,595.444,3
2,1,3,2,2,473.795,450.393,442.689,429.616,447.865,454.512,431.444,474.977,422.65,456.325,3
4,4,4,4,4,524.314,507.59,477.622,517.164,520.857,525.476,536.064,531.271,505.009,531.591,3
1,1,1,3,1,548.92,520.948,524.687,607.058,579.228,554.355,440.737,556.424,542.091,512.235,3
1,1,3,1,1,440.978,466.655,466.271,500.825,431.608,440.562,412.727,452.237,446.597,437.054,3
2,1,1,4,2,541.607,443.696,502.849,515.959,531.945,498.75,494.422,546.285,525.171,492.534,3
2,1,1,3,1,437.823,443.682,468.767,441.228,519.067,467.317,453.393,376.787,419.694,413.231,3
3,2,2,3,3,516.898,476.172,557.953,501.574,506.019,496.815,510.181,475.124,496.031,459.26,3
2,2,2,3,2,416.217,415.806,348.115,381.217,413.16,401.994,384.667,368.22,330.573,386.149,2
4,4,2,4,4,408.394,389.678,424.289,420.501,360.005,403.485,452.775,423.257,418.809,405.253,3
2,1,2,2,2,624.624,585.691,592.879,595.493,574.637,587.381,542.194,558.168,593.511,593.015,3
2,1,1,3,2,358.195,340.639,346.149,347.84,356.332,364.262,340.273,348.922,339.589,336.911,3
4,4,4,4,4,540.572,527.083,557.336,611.248,579.172,586.923,504.841,534.541,504.539,504.249,3
4,3,3,3,3,616.924,626.565,607.965,619.212,695.307,642.146,585.729,585.688,648.143,640.875,3
2,1,1,3,1,659.243,620.743,637.59,683.981,661.438,680.909,647.462,628.29,649.618,654.724,3
4,4,3,4,3,672.295,615.124,693.507,703.041,651.139,700.657,609.134,676.492,659.996,736.606,3
2,2,2,2,2,355.926,383.715,377.5,394.752,465.319,454.588,407.142,440.454,347.628,409.932,3
3,2,3,3,3,571.305,540.26,572.558,558.427,557.594,598.67,559.96,589.343,567.22,552.049,3
4,4,2,4,4,627.185,627.659,610.283,689.777,602.08,649.139,667.575,683.888,629.128,631.499,3
3,2,2,2,2,505.112,478.046,485.348,482.257,507.285,481.045,498.314,522.003,488.624,444.93,3
3,2,2,3,2,422.156,403.079,429.702,450.862,441.274,440.054,402.799,426.806,461.927,518.953,3
2,1,1,2,2,422.012,448.65,425.082,406.389,419.528,448.501,436.949,425.954,412.98,388.065,3
3,2,2,3,3,353.559,349.636,319.62,349.532,319.94,287.974,307.002,343.423,339.491,326.309,3
4,2,4,4,4,589.388,552.19,556.06,528.154,574.62,611.17,529.354,565.767,557.32,493.466,3
2, ,3,3,3,592.731,642.016,589.85,577.14,590.244,634.995,634.47,601.668,661.317,613.491,3
3,1,4,3,3,614.773,579.404,553.048,613.471,540.42,631.991,569.922,559.604,563.827,582.363,3
3,2,1,4,2,604.445,631.281,623.785,641.954,563.227,615.461,605.09,582.502,644.814,648.657,3
2,2,2,3,3,593.575,665.864,599.701,559.607,600.155,612.216,654.492,593.66,626.31,569.98,3
1,1,1,1,1,404.809,396.142,451.351,420.622,450.997,476.363,426.04,438.329,432.794,468.29,3
3,1,2,3,4,634.566,678.878,641.077,669.014,642.027,678.712,689.171,648.772,687.211,654.857,3
1,1,2,1,1,295.759,262.844,252.775,274.79,260.81,244.73,245.601,265.174,246.032,270.529,3
3,2,2,4,2,511.144,529.338,467.925,488.992,540.623,531.797,519.347,564.853,583.677,532.159,3
2,1,1,2,1,391.636,385.117,374.299,367.984,409.989,385.246,363.653,391.522,372.952,392.17,3
2,2,2,2,2,477.46,412.568,484.016,440.933,472.112,458.629,466.199,486.501,413.573,462.607,3
3,3,4,4,3,651.86,631.243,661.747,617.672,635.625,576.26,664.074,628.375,618.451,608.555,3
4,4,2,1,2,455.481,487.965,434.255,442.631,485.416,432.746,463.776,490.612,462.779,488.888,3
2,2,3,4,4,632.712,621.208,651.66,626.349,736.379,705.501,657.263,670.417,662.317,650.247,3
3,3,3,3,3,510.83,515.267,494.024,511.324,487.97,485.352,494.648,529.362,508.703,495.389,3
1,1,1,2,2,403.457,407.189,388.569,407.88,394.924,371.43,390.082,387.912,433.609,399.158,3
2,2,3,2,2,415.602,464.762,468.691,488.985,427.684,447.674,399.829,473.881,400.229,459.394,3
2,2,1,3,2,412.161,459.77,442,430.067,385.426,456.904,448.102,462.892,475.867,468.731,2
2,3,3,2,2,433.344,374.975,417.979,383.235,391.371,376.21,373.715,406.098,423.825,402.738,3
2,2,2,2,2,344.587,378.725,345.27,392.666,383.729,431.036,354.315,367.86,395.603,391.572,3
2,2,2,3,1,453.317,497.341,467.332,480.073,458.546,496.737,490.286,449.369,468.926,466.557,3
2,1,3,3,3,486.289,516.122,479.32,499.535,514.84,465.182,498.947,506.37,498.918,459.271,3
2,2, ,3,2,583.489,600.799,587.75,591.019,595.915,554.02,588.077,603.412,614.359,600.919,3
3,3,3,3,3,409.734,357.865,417.367,390.208,426.112,400.316,395.336,397.898,385.882,414.387,3
1,1,1,1,1,487.376,491.178,458.736,440.258,424.211,432.674,467.394,477.992,439.086,464.863,3
2,1,2,3,2,426.919,373.954,426.021,369.24,397.943,407.003,396.958,415.894,412.872,423.407,3
2,1,1,3,2,673.668,687.683,569.201,673.075,617.052,601.076,645.089,628.465,658.047,691.525,3
2,1,2,3,2,508.055,558.827,586.888,531.96,473.89,556.685,537.447,497.524,550.188,533.296,3
3,2,3,4,1,500.026,524.858,515.131,531.896,552.19,509.303,499.241,548.602,520.862,532.009,3
1,1,2,2,1,530.585,523.299,496.832,597.223,558.808,537.461,588.104,532.822,591.762,587.98,3
2,1,1,2,1,343.659,402.506,357.629,373.249,364.559,390.194,384.437,397.703,379.371,399.357,3
1,1,1,2,2,563.467,564.282,543.78,507.665,545.433,638.049,568.879,592.51,534.725,588.652,3
2,2,3,3,2,591.815,627.681,627.377,598.667,660.032,606.288,612.899,603.535,573.438,606.445,3
3,1,2,3,3,564.75,558.804,552.106,599.115,645.55,624.876,613.825,557.099,578.662,612.882,3
1,4,4,1,1,503.047,471.949,575.961,439.106,542.346,489.032,521.637,457.968,486.423,498.646,3
 , , , , ,539.235,563.387,545.71,566.03,516.474,553.899,489.375,529.455,517.443,544.781,3
 , , , , ,509.188,510.879,560.145,467.596,512.798,497.707,500.926,501.098,533.991,480.059,3
 , , , , ,505.729,459.742,460.689,460.471,476.324,458.434,462.471,470.573,464.429,441.918,3
1,2,1,2,2,418.492,442.516,410.238,453.605,451.787,477.778,457.74,432.827,448.239,512.6,3
1,1,1,1,1,441.475,445.805,449.144,426.926,419.011,406.064,460.461,487.525,475.667,452.353,3
3,2,3,3,2,562.18,631.204,648.101,559.724,629.43,641.899,641.358,587.186,619.119,652.157,3
2,1,2,3,1,382.569,407.177,389.414,380.102,380.25,355.393,397.418,388.573,364.838,366.369,3
2,1,3,3,2,554.974,598.332,575.001,539.194,571.926,642.562,588.257,604.694,615.056,636.146,3
2,1,1,3,1,423.503,391.026,402.441,355.614,378.301,401.325,406.831,427.868,435.286,444.721,3
2,1,1,2,2,322.807,392.908,387.572,380.369,364.939,434.509,390.129,378.399,394.177,398.75,3
3,2,3,4,3,560.713,519.841,533.388,506.85,522.684,579.316,541.664,500.603,512.969,578.472,3
3,2,2,4,2,460.213,455.293,466.903,476.122,443.327,459.684,431.066,492.487,479.174,447.883,3
3,1,2,3,3,288.23,291.062,293.208,274.843,242.661,280.069,279.11,304.952,244.511,244.947,3
4,2,3,4,3,463.768,470.304,445.572,517.983,454.151,457.03,481.073,458.737,464.518,454.624,3
 ,1,2,2,1,617.26,567.839,604.919,544.405,564.02,576.875,548.158,572.51,571.465,605.824,3
4,4,3,4,4,494.389,524.938,490.633,544.514,524.563,543.508,593.895,534.76,510.006,502.525,3
2,2,2,2,2,432.102,456.572,464.996,466.606,480.406,497.966,470.098,478.433,491.492,459.94,3
4,4,4,4,4,645.303,549.811,642.639,634.418,598.448,618.339,616.083,627.329,653.751,682.613,3
3,3,3,3,3,610.569,564.833,559.108,609.783,582.686,581.696,588.984,583.399,588.664,616.753,3
2,1,1,3,2,426.283,407.24,403.826,406.993,382.694,420.655,437.396,409.429,389.634,449.39,3
2,3,2,3,2,445.9,443.865,466.026,475.343,491.641,477.571,483.601,413.287,463.772,439.924,3
3,3,1,3,4,713.682,694.556,689.739,706.811,726.309,691.697,630.507,668.529,623.784,589.779,3
3,2,3,3,3,607.48,597.274,568.498,617.25,571.442,606.462,600.122,579.418,611.445,597.261,3
2,2,3,2,2,663.267,617.244,604.768,715.652,642.717,634.824,649.9,623.26,672.879,647.244,3
1,1,2,2,1,586.739,632.548,615.68,581.736,608.504,668.185,583.863,604.702,620.895,574.802,3
2,1,1,2,2,559.836,509.5,538.329,532.153,537.423,480.144,534.489,481.232,499.95,469.185,3
3,3,3,4,3,540.326,579.782,538.639,575.546,585.872,549.714,589.655,567.029,582.62,610.857,3
3,3,3,3,3,509.733,418.958,489.991,503.252,487.192,516.937,481.475,519.97,508.269,512.384,3
1,1,2,2,1,445.445,398.332,398.347,402.206,402.1,424.62,457.212,424.923,426.892,449.965,3
3,3,3,3,2,452.708,504.425,513.035,483.046,503.215,448.762,430.435,449.611,542.364,479.863,3
2,3,3,2,2,257.691,230.864,240.867,260.641,241.163,269.153,278.343,230.548,213.132,244.111,2
3,3,3,3,3,511.321,504.511,538.048,466.997,522.272,515.333,490.276,510.923,429.341,512.636,3
3,3,2,3,3,617.859,591.52,587.91,528.908,607.975,547.018,539.306,568.933,585.222,600.864,3
3,3,1,4,4,716.1,647.219,728.046,687.924,611.669,670.868,675.931,676.505,658.295,713.902,3
1,1,1,1,1,517.225,560.941,522.947,554.511,548.658,559.523,508.335,538.952,556.442,537.997,3
1,1,1,1,1,454.208,500.919,430.566,509.096,434.32,441.304,441.384,416.633,473.414,453.151,3
2,2,2,3,2,549.577,603.053,554.954,698.359,585.41,616.018,581.348,622.361,626.407,626.72,3
3,3,3,4,3,605.406,616.991,657.912,586.619,562.238,644.567,541.931,594.314,626.3,655.515,3
3,3,3,3,2,542.931,494.968,531.527,515.022,509.716,556.807,532.961,555.517,525.079,534.688,3
2,3,3,3,2,620.22,543.028,602.081,575.403,646.873,605.666,619.94,562.008,551.399,586.944,3
2,1,2,2,2,565.506,597.549,540.938,559.877,599.36,595.701,514.39,569.099,575.326,552.609,3
4,3,4,4,4,695.775,704.382,696.766,696.424,709.385,638.415,663.106,703.739,729.933,717.229,3
4,2,4,4,3,688.576,672.306,659.475,627.008,634.633,655.988,652.425,657.842,643.378,645.879,3
3,2,3,4,3,563.012,590.871,610.351,599.244,542.788,624.433,579.514,584.29,564.207,612.538,3
3,3,3,3,3,623.366,551.524,626.51,613.248,583.212,589.329,625.811,600.996,586.724,604.49,3
1,2,2,2,2,551.175,595.712,553.426,573.012,559.023,557.188,525.631,525.033,520.631,587.428,3
3,2,3,4,4,499.212,457.146,463.231,448.368,443.257,461.617,464.876,483.59,469.861,492.483,3
1,1,1,1,1,437.113,449.33,459.638,450.098,444.284,483.321,438.102,456.229,467.88,435.117,3
1,1,3,2,1,585.369,577.307,518.9,533.797,575.004,593.969,568.018,506.464,550.747,541.972,3
2,2,2,2,2,558.668,571.396,544.426,578.056,596.201,580.88,573.561,563.911,520.475,601.955,3
1,1,1,1,1,523.478,550.529,550.195,584.935,572.972,586.021,560.673,550.45,577.146,570.268,3
3,3,3,3,3,571.687,645.39,587.445,591.843,616.714,637.893,564.585,614.75,579.035,607.752,3
2,2,1,3,2,525.624,518.616,473.411,529.917,482.461,524.657,542.902,542.102,514.757,533.372,3
 , , , , ,548.86,530.307,529.886,580.884,543.496,573.731,587.233,578.459,514.591,558.778,3
1,1,1,2,1,532.682,532.502,561.076,597.03,547.296,549.632,504.938,533.333,513.881,538.508,3
3,2,2,4,3,609.026,610.855,550.694,592.909,598.538,620.358,623.455,596.059,614.558,603.95,3
4,3,3,4,3,676.08,690.06,646.975,667.032,682.7,683.161,700.156,668.63,671.254,688.382,3
1,2,2,2,1,528.113,567.597,563.653,512.485,506.649,509.549,523.686,542.9,524.468,540.211,3
1,1,1,1,1,510.996,530.269,493.237,509.45,493.561,475.412,484.784,496.994,499.289,513.249,3
2,2,2,3,2,331.795,315.802,285.394,314.916,334.332,323.83,317.476,341.241,331.753,300.892,2
1,1,2,2,2,607.05,607.216,664.109,622.926,629.27,599.417,641.604,610.284,640.13,652.624,2
1,1,3,2,2,537.049,513.774,490.477,520.333,506.101,453.323,536.81,540.4,529.541,489.931,3
3,3,3,4,3,616.696,634.255,571.606,614.135,639.274,607.12,627.363,620.414,649.306,611.823,3
3,2,3,4,3,666.601,703.198,630.797,645.101,668.223,606.007,675.23,654.166,627.477,623.6,3
2,1,3,3,2,612.86,632.012,689.64,624.701,666.432,681.557,701.757,654.293,690.56,663.13,3
2,2,1,3,2,440.683,498.083,430.084,468.345,506.286,475.452,464.211,499.594,451.41,468.508,3
2,2,2,3,3,599.319,626.791,609.581,600.47,614.384,545.185,556.146,570.762,542.366,572.321,3
3,2,2,3,2,488.216,514.515,511.788,545.348,524.466,532.404,536.505,537.775,509.273,536.574,3
1,1,2,2,2,410.243,485.442,426.322,424.465,402.902,428.668,423.777,426.417,422.29,408.462,2
2,2,2,3,2,358.716,428.535,402.173,397.369,384.854,386.513,369.819,401.704,404.432,365.081,3
1,1,1,1,2,532.935,580.713,554.953,542.29,588.602,564.711,561.949,575.187,564.914,549.727,3
2,2,1,2,1,705.935,680.832,698.836,674.765,684.27,699.073,720.574,681.6,686.929,706.71,3
3,2,2,3,3,733.606,671.129,737.127,673.209,685.36,688.607,672.62,637.09,684.982,626.271,3
1,1,1,1,2,610.72,500.621,611.915,516.16,585.349,577.488,589.416,541.288,559.817,567.507,3
1,2,2,2,2,566.009,508.32,521.436,516.582,543.81,531.891,505.147,500.26,539.242,563.546,3
2,2,1,2,3,621.677,662.849,671.979,698.835,653.394,630.242,629.285,659.97,651.366,640.047,3
3,2,3,3,4,724.86,747.426,722.737,737.708,707.207,651.682,720.416,761.716,763.946,761.512,3
1,1,1,2,1,518.249,525.056,498.447,500.128,522.962,499.732,516.318,481.785,483.439,450.024,3
4,4,4,4,4,681.292,672.592,610.31,665.763,603.354,600.931,639.76,648.477,605.78,648.517,3
1,1,1,1,2,607.632,611.303,550.766,592.937,599.627,567.924,567.648,648.039,599.022,592.565,3
2,2,1,3,3,413.189,431.968,393.04,433.161,461.55,379.562,411.433,446.361,450.905,430.836,3
1,1,1,2,2,445.487,448.786,452.833,471.03,481.099,445.11,499.254,465.113,473.828,462.896,3
4,1,1,4,4,326.393,343.947,343.227,329.288,346.336,327.09,342.37,337.604,328.535,346.595,3
1,1,1,3,2,397.999,461.128,387.775,417.36,402.804,409.519,450.835,450.365,384.63,412.586,3
2,2,3,3,2,242.512,211.455,206.224,205.65,272.823,262.828,249.165,202.801,259.815,216.195,3
1,1,1,1,3,315.516,301.148,298.367,323.783,324.727,340.81,312.413,306.682,323.748,325.166,3
2,2,2,4,1,351.188,381.799,366.065,405.045,394.851,367.299,387.072,403.69,354.294,402.148,3
3,2,2,3,3,514.878,519.787,531.449,525.279,517.924,541.209,529.795,495.261,502.019,518.505,3
1,1,1,1,1,478.52,478.625,563.393,498.91,527.737,479.847,534.6,492.375,506.895,522.356,3
2,2,3,3,2,562.91,621.013,550.469,577.469,516.8,574.32,592.721,627.968,543.984,591.095,3
1,1,3,3,2,509.028,459.307,487.591,496.115,544.582,513.953,478.914,499.653,535.233,523.905,2
1,1,1,2,1,544.523,499.839,506.624,520.958,536.217,495.638,531.22,545.011,492.61,507.349,3
3,3,2,3,3,462.969,419.999,489.108,473.648,478.78,467.23,449.389,431.189,463.812,447.896,3
2,2,2,3,2,508.622,471.698,522.846,518.654,514.177,527.748,514.813,518.263,478.132,524.016,3
3,3,3,3,3,557.637,568.552,565.983,534.975,491.635,521.696,528.2,565.973,563.213,562.335,3
2,4,4,4,1,391.773,398.342,379.212,380.179,397.907,397.412,373.107,398.27,382.088,358.706,2
1,1,1,3,1,288.566,285.552,353.246,348.788,325.096,325.513,309.319,304.53,283.16,295.682,3
1,1,1,2,1,378.855,347.391,351.591,378.42,364.525,367.354,396.057,400.186,355.483,323.69,3
2,2,2,3,2,426.773,428.165,414.854,450.987,448.949,492.856,458.611,469.933,480.333,437.496,3
2,2,2,3,2,536.211,487.412,481.118,498.583,465.366,571.298,483.808,462.083,554.666,480.675,3
2,1,2,4,2,303.793,369.888,357.989,314.737,327.923,360.303,317.328,336.992,326.275,369.215,3
2,3,3,2,2,461.225,453.538,384.354,468.554,425.169,436.1,399.434,415.111,494.42,447.686,3
1,1,1,1,4,490.043,494.245,518.612,545.928,517.556,470.772,467.585,545.872,469.562,503.898,3
4,4,3,4,4,422.46,383.33,417.048,394.453,387.691,419.255,400.941,395.5,391.347,387.827,3
3,1,1,3,2,421.22,503.086,432.225,437.214,487.862,509.382,455.667,463.166,481.474,448.923,3
2,1,2,2,2,324.359,398.223,318.621,354.019,354.965,360.453,368.742,343.174,389.508,396.478,3
1,1,1,1,2,345.347,367.731,358.279,357.642,355.98,356.371,340.429,358.916,389.86,387.769,3
3,3,2,3,3,575.69,537.476,480.061,532.385,531.625,554.742,516.344,559.298,495.712,516.454,3
4,3,2,4,4,557.456,562.015,609.792,565.396,543.882,604.522,580.697,558.724,563.724,586.938,3
4,1,2,3,1,274.306,299.965,352.018,340.162,307.309,315.715,312.105,321.366,310.685,315.308,3
3,3,2,4,3,563.337,593.838,589.862,576.391,552.995,543.416,556.287,621.655,644.029,549.225,3
